cityname,year,earthquake
KARABUK,1999,1
KARAMAN,1999,0
KARS,1999,4
KASTAMONU,1999,5
KAYSERI,1999,0
KILIS,1999,0
KIRIKKALE,1999,0
KIRKLARELI,1999,0
KIRSEHIR,1999,0
KOCAELI,1999,71
KONYA,1999,4
KUTAHYA,1999,114
MALATYA,1999,0
MANISA,1999,184
MARDIN,1999,0
MERSIN,1999,0
MUGLA,1999,49
MUS,1999,1
NEVSEHIR,1999,0
NIGDE,1999,0
ORDU,1999,0
OSMANIYE,1999,1
RIZE,1999,0
SAKARYA,1999,79
SAMSUN,1999,1
SANLIURFA,1999,1
SIIRT,1999,0
SINOP,1999,1
SIRNAK,1999,0
SIVAS,1999,8
TEKIRDAG,1999,2
TOKAT,1999,1
TRABZON,1999,0
TUNCELI,1999,1
USAK,1999,3
VAN,1999,0
YALOVA,1999,33
YOZGAT,1999,0
ZONGULDAK,1999,0
ADANA,2000,3
ADIYAMAN,2000,0
AFYONKARAHISAR,2000,2
AGRI,2000,0
AKSARAY,2000,0
AMASYA,2000,0
ANKARA,2000,1
ANTALYA,2000,2
ARDAHAN,2000,0
ARTVIN,2000,0
AYDIN,2000,9
BALIKESIR,2000,17
BARTIN,2000,0
BATMAN,2000,0
BAYBURT,2000,0
BILECIK,2000,0
BINGOL,2000,1
BITLIS,2000,0
BOLU,2000,6
BURDUR,2000,0
BURSA,2000,12
CANAKKALE,2000,4
CANKIRI,2000,19
CORUM,2000,2
DENIZLI,2000,20
DIYARBAKIR,2000,0
DUZCE,2000,13
EDIRNE,2000,0
ELAZIG,2000,1
ERZINCAN,2000,1
ERZURUM,2000,4
ESKISEHIR,2000,1
GAZIANTEP,2000,1
GIRESUN,2000,0
GUMUSHANE,2000,0
HAKKARI,2000,3
HATAY,2000,0
IGDIR,2000,0
ISPARTA,2000,0
ISTANBUL,2000,4
IZMIR,2000,10
KAHRAMANMARAS,2000,3
KARABUK,2000,0
KARAMAN,2000,2
KARS,2000,0
KASTAMONU,2000,0
KAYSERI,2000,0
KILIS,2000,0
KIRIKKALE,2000,0
KIRKLARELI,2000,0
KIRSEHIR,2000,0
KOCAELI,2000,5
KONYA,2000,3
KUTAHYA,2000,11
MALATYA,2000,2
MANISA,2000,7
MARDIN,2000,0
MERSIN,2000,2
MUGLA,2000,5
MUS,2000,0
NEVSEHIR,2000,0
NIGDE,2000,0
ORDU,2000,0
OSMANIYE,2000,2
RIZE,2000,0
SAKARYA,2000,13
SAMSUN,2000,0
SANLIURFA,2000,0
SIIRT,2000,0
SINOP,2000,0
SIRNAK,2000,1
SIVAS,2000,0
TEKIRDAG,2000,0
TOKAT,2000,0
TRABZON,2000,0
TUNCELI,2000,0
USAK,2000,0
VAN,2000,6
YALOVA,2000,4
YOZGAT,2000,0
ZONGULDAK,2000,1
ADANA,2001,2
ADIYAMAN,2001,2
AFYONKARAHISAR,2001,8
AGRI,2001,1
AKSARAY,2001,1
AMASYA,2001,2
ANKARA,2001,1
ANTALYA,2001,4
ARDAHAN,2001,0
ARTVIN,2001,0
AYDIN,2001,3
BALIKESIR,2001,52
BARTIN,2001,0
BATMAN,2001,0
BAYBURT,2001,0
BILECIK,2001,1
BINGOL,2001,0
BITLIS,2001,2
BOLU,2001,3
BURDUR,2001,4
BURSA,2001,9
CANAKKALE,2001,15
CANKIRI,2001,7
CORUM,2001,0
DENIZLI,2001,5
DIYARBAKIR,2001,4
DUZCE,2001,7
EDIRNE,2001,0
ELAZIG,2001,2
ERZINCAN,2001,0
ERZURUM,2001,6
ESKISEHIR,2001,1
GAZIANTEP,2001,0
GIRESUN,2001,0
GUMUSHANE,2001,0
HAKKARI,2001,1
HATAY,2001,0
IGDIR,2001,1
ISPARTA,2001,0
ISTANBUL,2001,0
IZMIR,2001,28
KAHRAMANMARAS,2001,0
KARABUK,2001,0
KARAMAN,2001,0
KARS,2001,0
KASTAMONU,2001,1
KAYSERI,2001,1
KILIS,2001,0
KIRIKKALE,2001,2
KIRKLARELI,2001,0
KIRSEHIR,2001,0
KOCAELI,2001,3
KONYA,2001,1
KUTAHYA,2001,24
MALATYA,2001,0
MANISA,2001,32
MARDIN,2001,0
MERSIN,2001,2
MUGLA,2001,5
MUS,2001,2
NEVSEHIR,2001,0
NIGDE,2001,0
ORDU,2001,0
OSMANIYE,2001,5
RIZE,2001,0
SAKARYA,2001,12
SAMSUN,2001,0
SANLIURFA,2001,0
SIIRT,2001,1
SINOP,2001,0
SIRNAK,2001,0
SIVAS,2001,2
TEKIRDAG,2001,2
TOKAT,2001,1
TRABZON,2001,0
TUNCELI,2001,0
USAK,2001,0
VAN,2001,2
YALOVA,2001,5
YOZGAT,2001,1
ZONGULDAK,2001,0
ADANA,2002,0
ADIYAMAN,2002,1
AFYONKARAHISAR,2002,24
AGRI,2002,0
AKSARAY,2002,0
AMASYA,2002,0
ANKARA,2002,0
ANTALYA,2002,5
ARDAHAN,2002,1
ARTVIN,2002,0
AYDIN,2002,2
BALIKESIR,2002,4
BARTIN,2002,0
BATMAN,2002,0
BAYBURT,2002,0
BILECIK,2002,1
BINGOL,2002,1
BITLIS,2002,0
BOLU,2002,0
BURDUR,2002,0
BURSA,2002,2
CANAKKALE,2002,2
CANKIRI,2002,4
CORUM,2002,0
DENIZLI,2002,1
DIYARBAKIR,2002,0
DUZCE,2002,0
EDIRNE,2002,1
ELAZIG,2002,0
ERZINCAN,2002,1
ERZURUM,2002,0
